state,year,pixels,mean,min,max,sum,var
Distrito Federal,1990,17168,  3.175619E-01,  0.000000E+00,  3.870000E-01,  5.451902E+03,  3.693399E-03
Distrito Federal,1991,17168,  3.243179E-01,  0.000000E+00,  4.010000E-01,  5.567890E+03,  4.102130E-03
Distrito Federal,1992,17168,  3.361726E-01,  0.000000E+00,  4.160000E-01,  5.771411E+03,  4.188824E-03
Distrito Federal,1993,17168,  3.633131E-01,  0.000000E+00,  4.440000E-01,  6.237360E+03,  5.343026E-03
Distrito Federal,1994,17168,  3.770260E-01,  0.000000E+00,  4.600000E-01,  6.472783E+03,  5.395101E-03
Distrito Federal,1995,17168,  3.863217E-01,  0.000000E+00,  4.710000E-01,  6.632371E+03,  5.484813E-03
Distrito Federal,1996,17168,  4.096729E-01,  0.000000E+00,  5.370000E-01,  7.033264E+03,  7.317463E-03
Distrito Federal,1997,17168,  4.305359E-01,  0.000000E+00,  5.830000E-01,  7.391441E+03,  9.071085E-03
Distrito Federal,1998,17168,  4.533365E-01,  0.000000E+00,  6.090000E-01,  7.782881E+03,  9.847890E-03
Distrito Federal,1999,17168,  4.829615E-01,  0.000000E+00,  6.410000E-01,  8.291483E+03,  1.042037E-02
Distrito Federal,2000,17168,  5.114497E-01,  0.000000E+00,  6.490000E-01,  8.780569E+03,  1.070502E-02
Distrito Federal,2001,17168,  5.412854E-01,  0.000000E+00,  6.800000E-01,  9.292788E+03,  1.439540E-02
Distrito Federal,2002,17168,  5.837194E-01,  0.000000E+00,  7.360000E-01,  1.002129E+04,  1.862020E-02
Distrito Federal,2003,17168,  6.866346E-01,  0.000000E+00,  9.150000E-01,  1.178814E+04,  3.796411E-02
Distrito Federal,2004,17168,  7.306264E-01,  0.000000E+00,  1.002000E+00,  1.254339E+04,  4.430429E-02
Distrito Federal,2005,17168,  7.592616E-01,  0.000000E+00,  1.048000E+00,  1.303500E+04,  3.899339E-02
Distrito Federal,2006,17168,  7.766411E-01,  0.000000E+00,  1.103000E+00,  1.333337E+04,  4.653126E-02
Distrito Federal,2007,17168,  7.916075E-01,  0.000000E+00,  1.182000E+00,  1.359032E+04,  6.375801E-02
Distrito Federal,2008,17168,  8.069863E-01,  0.000000E+00,  1.335000E+00,  1.385434E+04,  9.888274E-02
Distrito Federal,2009,17168,  8.630024E-01,  0.000000E+00,  1.478000E+00,  1.481603E+04,  1.225909E-01
Distrito Federal,2010,17168,  9.611934E-01,  0.000000E+00,  1.707000E+00,  1.650177E+04,  1.721864E-01
Distrito Federal,2011,17168,  1.079256E+00,  0.000000E+00,  2.022000E+00,  1.852866E+04,  2.660265E-01
Distrito Federal,2012,17168,  1.179781E+00,  0.000000E+00,  2.337000E+00,  2.025447E+04,  3.847693E-01
Tocantins,1990,257537,  7.114688E-01,  0.000000E+00,  1.297000E+00,  1.832295E+05,  4.351554E-02
Tocantins,1991,257537,  7.170951E-01,  0.000000E+00,  1.364000E+00,  1.846785E+05,  4.149357E-02
Tocantins,1992,257537,  7.287229E-01,  0.000000E+00,  1.418000E+00,  1.876731E+05,  4.186620E-02
Tocantins,1993,257537,  7.046846E-01,  0.000000E+00,  1.230000E+00,  1.814824E+05,  4.255907E-02
Tocantins,1994,257537,  6.980620E-01,  0.000000E+00,  1.339000E+00,  1.797768E+05,  4.873684E-02
Tocantins,1995,257537,  6.886715E-01,  0.000000E+00,  1.371000E+00,  1.773584E+05,  5.615653E-02
Tocantins,1996,257537,  6.733645E-01,  0.000000E+00,  1.432000E+00,  1.734163E+05,  4.854462E-02
Tocantins,1997,257537,  6.976601E-01,  0.000000E+00,  1.399000E+00,  1.796733E+05,  5.814751E-02
Tocantins,1998,257537,  6.743886E-01,  0.000000E+00,  1.274000E+00,  1.736800E+05,  5.510952E-02
Tocantins,1999,257537,  7.072089E-01,  0.000000E+00,  1.261000E+00,  1.821325E+05,  6.284894E-02
Tocantins,2000,257537,  7.322502E-01,  0.000000E+00,  1.296000E+00,  1.885815E+05,  7.189452E-02
Tocantins,2001,257537,  7.652254E-01,  0.000000E+00,  1.379000E+00,  1.970738E+05,  8.090083E-02
Tocantins,2002,257537,  7.782551E-01,  0.000000E+00,  1.513000E+00,  2.004295E+05,  1.002146E-01
Tocantins,2003,257537,  8.071752E-01,  0.000000E+00,  1.617000E+00,  2.078775E+05,  1.192281E-01
Tocantins,2004,257537,  8.531969E-01,  0.000000E+00,  1.668000E+00,  2.197298E+05,  1.222671E-01
Tocantins,2005,257537,  8.599940E-01,  0.000000E+00,  1.847000E+00,  2.214803E+05,  1.088845E-01
Tocantins,2006,257537,  9.069072E-01,  0.000000E+00,  1.843000E+00,  2.335622E+05,  1.159488E-01
Tocantins,2007,257537,  9.769261E-01,  0.000000E+00,  2.090000E+00,  2.515946E+05,  1.054847E-01
Tocantins,2008,257537,  9.682602E-01,  0.000000E+00,  2.353000E+00,  2.493628E+05,  8.740912E-02
Tocantins,2009,257537,  9.253897E-01,  0.000000E+00,  2.519000E+00,  2.383221E+05,  8.552844E-02
Tocantins,2010,257537,  9.649985E-01,  0.000000E+00,  2.724000E+00,  2.485228E+05,  9.581323E-02
Tocantins,2011,257537,  1.008996E+00,  0.000000E+00,  3.261000E+00,  2.598538E+05,  1.066227E-01
Tocantins,2012,257537,  1.030235E+00,  0.000000E+00,  3.978000E+00,  2.653237E+05,  1.756318E-01
Mato Grosso,1990,722848,  7.255318E-01,  0.000000E+00,  1.467000E+00,  5.244492E+05,  8.251710E-02
Mato Grosso,1991,722848,  7.469092E-01,  0.000000E+00,  1.536000E+00,  5.399018E+05,  8.737102E-02
Mato Grosso,1992,722848,  7.665783E-01,  0.000000E+00,  1.658000E+00,  5.541196E+05,  9.494527E-02
Mato Grosso,1993,722848,  7.748561E-01,  0.000000E+00,  1.774000E+00,  5.601032E+05,  1.024468E-01
Mato Grosso,1994,722848,  7.733959E-01,  0.000000E+00,  1.901000E+00,  5.590477E+05,  1.154425E-01
Mato Grosso,1995,722848,  7.725655E-01,  0.000000E+00,  2.058000E+00,  5.584474E+05,  9.541178E-02
Mato Grosso,1996,722848,  7.866410E-01,  0.000000E+00,  1.629000E+00,  5.686218E+05,  7.135938E-02
Mato Grosso,1997,722848,  8.157441E-01,  0.000000E+00,  1.675000E+00,  5.896590E+05,  7.602614E-02
Mato Grosso,1998,722848,  8.498846E-01,  0.000000E+00,  1.754000E+00,  6.143374E+05,  9.425521E-02
Mato Grosso,1999,722848,  8.577074E-01,  0.000000E+00,  1.828000E+00,  6.199920E+05,  9.805821E-02
Mato Grosso,2000,722848,  8.843839E-01,  0.000000E+00,  1.947000E+00,  6.392751E+05,  1.061447E-01
Mato Grosso,2001,722848,  9.227214E-01,  0.000000E+00,  2.107000E+00,  6.669873E+05,  1.150906E-01
Mato Grosso,2002,722848,  9.606678E-01,  0.000000E+00,  2.404000E+00,  6.944168E+05,  1.272373E-01
Mato Grosso,2003,722848,  1.000846E+00,  0.000000E+00,  2.400000E+00,  7.234592E+05,  1.412911E-01
Mato Grosso,2004,722848,  1.078311E+00,  0.000000E+00,  2.325000E+00,  7.794552E+05,  1.317880E-01
Mato Grosso,2005,722848,  1.105622E+00,  0.000000E+00,  2.550000E+00,  7.991965E+05,  1.185403E-01
Mato Grosso,2006,722848,  1.199218E+00,  0.000000E+00,  2.586000E+00,  8.668522E+05,  1.345053E-01
Mato Grosso,2007,722848,  1.268395E+00,  0.000000E+00,  2.444000E+00,  9.168571E+05,  1.398947E-01
Mato Grosso,2008,722848,  1.307691E+00,  0.000000E+00,  2.697000E+00,  9.452616E+05,  1.515800E-01
Mato Grosso,2009,722848,  1.367886E+00,  0.000000E+00,  3.420000E+00,  9.887734E+05,  1.779872E-01
Mato Grosso,2010,722848,  1.446154E+00,  0.000000E+00,  4.066000E+00,  1.045350E+06,  1.925848E-01
Mato Grosso,2011,722848,  1.601882E+00,  0.000000E+00,  5.267000E+00,  1.157917E+06,  2.489870E-01
Mato Grosso,2012,722848,  1.688256E+00,  0.000000E+00,  6.543000E+00,  1.220353E+06,  3.140156E-01
Goias,1990,57100,  8.682746E-01,  0.000000E+00,  1.227000E+00,  4.957848E+04,  4.980655E-02
Goias,1991,57100,  9.194465E-01,  0.000000E+00,  1.254000E+00,  5.250040E+04,  6.262461E-02
Goias,1992,57100,  9.600294E-01,  0.000000E+00,  1.414000E+00,  5.481768E+04,  8.339580E-02
Goias,1993,57100,  1.026216E+00,  0.000000E+00,  1.631000E+00,  5.859692E+04,  8.668672E-02
Goias,1994,57100,  1.026718E+00,  0.000000E+00,  1.771000E+00,  5.862559E+04,  9.333993E-02
Goias,1995,57100,  1.018363E+00,  0.000000E+00,  1.915000E+00,  5.814854E+04,  1.137084E-01
Goias,1996,57100,  9.768881E-01,  0.000000E+00,  1.414000E+00,  5.578031E+04,  6.770286E-02
Goias,1997,57100,  1.054339E+00,  0.000000E+00,  1.680000E+00,  6.020278E+04,  8.119691E-02
Goias,1998,57100,  1.084200E+00,  0.000000E+00,  1.830000E+00,  6.190781E+04,  8.768659E-02
Goias,1999,57100,  1.077715E+00,  0.000000E+00,  1.694000E+00,  6.153752E+04,  1.032409E-01
Goias,2000,57100,  1.074542E+00,  0.000000E+00,  1.595000E+00,  6.135633E+04,  1.104513E-01
Goias,2001,57100,  9.997502E-01,  0.000000E+00,  1.747000E+00,  5.708574E+04,  1.232696E-01
Goias,2002,57100,  1.040197E+00,  0.000000E+00,  1.928000E+00,  5.939525E+04,  1.362958E-01
Goias,2003,57100,  1.143744E+00,  0.000000E+00,  2.073000E+00,  6.530778E+04,  1.286632E-01
Goias,2004,57100,  1.270293E+00,  0.000000E+00,  2.096000E+00,  7.253375E+04,  1.236320E-01
Goias,2005,57100,  1.380662E+00,  0.000000E+00,  2.307000E+00,  7.883577E+04,  1.634429E-01
Goias,2006,57100,  1.497777E+00,  0.000000E+00,  2.586000E+00,  8.552306E+04,  2.002491E-01
Goias,2007,57100,  1.579438E+00,  0.000000E+00,  2.444000E+00,  9.018592E+04,  2.147106E-01
Goias,2008,57100,  1.623656E+00,  0.000000E+00,  2.656000E+00,  9.271075E+04,  2.748148E-01
Goias,2009,57100,  1.748469E+00,  0.000000E+00,  2.832000E+00,  9.983756E+04,  3.019246E-01
Goias,2010,57100,  1.825390E+00,  0.000000E+00,  3.095000E+00,  1.042298E+05,  3.654382E-01
Goias,2011,57100,  1.956335E+00,  0.000000E+00,  3.432000E+00,  1.117067E+05,  5.277568E-01
Goias,2012,57100,  2.140990E+00,  0.000000E+00,  3.978000E+00,  1.222505E+05,  7.846124E-01
Mato Grosso do Sul,1990,53974,  1.175572E+00,  0.000000E+00,  2.138000E+00,  6.345034E+04,  2.091468E-01
Mato Grosso do Sul,1991,53974,  1.223408E+00,  0.000000E+00,  2.624000E+00,  6.603222E+04,  3.050766E-01
Mato Grosso do Sul,1992,53974,  1.264085E+00,  0.000000E+00,  2.822000E+00,  6.822770E+04,  3.672625E-01
Mato Grosso do Sul,1993,53974,  1.289659E+00,  0.000000E+00,  2.545000E+00,  6.960803E+04,  2.938384E-01
Mato Grosso do Sul,1994,53974,  1.363333E+00,  0.000000E+00,  2.896000E+00,  7.358455E+04,  3.973599E-01
Mato Grosso do Sul,1995,53974,  1.345996E+00,  0.000000E+00,  3.053000E+00,  7.264881E+04,  4.874265E-01
Mato Grosso do Sul,1996,53974,  1.231785E+00,  0.000000E+00,  2.369000E+00,  6.648434E+04,  2.583799E-01
Mato Grosso do Sul,1997,53974,  1.233125E+00,  0.000000E+00,  2.282000E+00,  6.655671E+04,  2.454492E-01
Mato Grosso do Sul,1998,53974,  1.281046E+00,  0.000000E+00,  2.314000E+00,  6.914317E+04,  2.535783E-01
Mato Grosso do Sul,1999,53974,  1.286928E+00,  0.000000E+00,  2.263000E+00,  6.946063E+04,  2.578002E-01
Mato Grosso do Sul,2000,53974,  1.388665E+00,  0.000000E+00,  2.302000E+00,  7.495178E+04,  2.742630E-01
Mato Grosso do Sul,2001,53974,  1.422135E+00,  0.000000E+00,  2.300000E+00,  7.675830E+04,  2.654399E-01
Mato Grosso do Sul,2002,53974,  1.444465E+00,  0.000000E+00,  2.333000E+00,  7.796357E+04,  2.868564E-01
Mato Grosso do Sul,2003,53974,  1.490277E+00,  0.000000E+00,  2.504000E+00,  8.043623E+04,  3.146998E-01
Mato Grosso do Sul,2004,53974,  1.554601E+00,  0.000000E+00,  2.583000E+00,  8.390803E+04,  3.505490E-01
Mato Grosso do Sul,2005,53974,  1.600461E+00,  0.000000E+00,  2.786000E+00,  8.638326E+04,  4.048963E-01
Mato Grosso do Sul,2006,53974,  1.615039E+00,  0.000000E+00,  2.775000E+00,  8.717012E+04,  3.702597E-01
Mato Grosso do Sul,2007,53974,  1.601758E+00,  0.000000E+00,  2.850000E+00,  8.645330E+04,  3.624461E-01
Mato Grosso do Sul,2008,53974,  1.701888E+00,  0.000000E+00,  3.820000E+00,  9.185769E+04,  5.915515E-01
Mato Grosso do Sul,2009,53974,  1.770138E+00,  0.000000E+00,  4.307000E+00,  9.554143E+04,  7.431758E-01
Mato Grosso do Sul,2010,53974,  1.806581E+00,  0.000000E+00,  4.046000E+00,  9.750842E+04,  6.771717E-01
Mato Grosso do Sul,2011,53974,  1.873539E+00,  0.000000E+00,  4.679000E+00,  1.011224E+05,  9.067972E-01
Mato Grosso do Sul,2012,53974,  1.961993E+00,  0.000000E+00,  5.438000E+00,  1.058966E+05,  1.207135E+00
Maranhao,1990,202259,  1.432006E+00,  0.000000E+00,  6.088000E+00,  2.896361E+05,  4.068006E-01
Maranhao,1991,202259,  1.470001E+00,  0.000000E+00,  6.242000E+00,  2.973209E+05,  4.527786E-01
Maranhao,1992,202259,  1.515644E+00,  0.000000E+00,  6.604000E+00,  3.065527E+05,  5.153333E-01
Maranhao,1993,202259,  1.556569E+00,  0.000000E+00,  7.032000E+00,  3.148300E+05,  5.607266E-01
Maranhao,1994,202259,  1.596073E+00,  0.000000E+00,  7.207000E+00,  3.228202E+05,  5.882501E-01
Maranhao,1995,202259,  1.647902E+00,  0.000000E+00,  7.468000E+00,  3.333030E+05,  6.436401E-01
