state,pixels,mean_ha,min_ha,max_ha,sum_ha,var
Distrito Federal,17168,  1.098289E+00,  0.000000E+00,  3.605831E+00,  1.885543E+04,  6.082564E-01
Tocantins,257537,  1.250382E+00,  0.000000E+00,  3.880366E+01,  3.220197E+05,  1.257291E+01
Mato Grosso,722848,  1.422607E+00,  0.000000E+00,  2.159664E+01,  1.028329E+06,  7.649637E+00
Goias,57100,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
Mato Grosso do Sul,53974,  1.539305E-06,  0.000000E+00,  8.308245E-02,  8.308245E-02,  1.278869E-07
Maranhao,202259,  1.836014E+00,  0.000000E+00,  2.094946E+01,  3.713503E+05,  1.526805E+01
Piaui,3732,  2.955480E+01,  0.000000E+00,  4.242577E+01,  1.102985E+05,  1.396540E+02
Paraiba,5221,  4.126359E-02,  0.000000E+00,  8.946727E-01,  2.154372E+02,  3.732562E-04
Pernambuco,17026,  7.299667E-01,  0.000000E+00,  5.283258E+00,  1.242841E+04,  1.083675E+00
Alagoas,340886,  5.436274E+00,  0.000000E+00,  2.447633E+01,  1.853150E+06,  3.842313E+01
Sergipe,7046,  7.813269E+00,  0.000000E+00,  2.471054E+01,  5.505230E+04,  5.700362E+00
